Referência;Produto;Atributos;Categorias;Qtde Vendida;Custo do Produto;Total vendas;;;;;;;;;;;;;;;;;;
10487;Camiseta Baby Look Hei Matau Maori - Preta;Único/P;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10030;Pulseira Dourado Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;15,38;;;;;;;;;;;;;;;;;;
10573;Chaveiro Pesque e Solte;Único/Único;Lançamentos, Utilitários > Chaveiros;2;4,52;9,04;;;;;;;;;;;;;;;;;;
10486;Camiseta Hei Matau Maori - Preta;Único/GG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10486;Camiseta Hei Matau Maori - Preta;Único/XG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10191;Pulseira Macramê Traíra Café;Único/Único;Acessórios > Pulseiras;2;11,41;22,82;;;;;;;;;;;;;;;;;;
10035;Pulseira Tucunaré Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;15,38;;;;;;;;;;;;;;;;;;
10587;Colar Hei Matau Metal;Único/Único;Lançamentos, Acessórios > Colares;2;4,61;9,22;;;;;;;;;;;;;;;;;;
10056;Pulseira Dourado Emborrachada;Único/Único;Acessórios > Pulseiras;2;6,11;12,22;;;;;;;;;;;;;;;;;;
10059;Pulseira Tambaqui Emborrachada;Único/Único;Acessórios > Pulseiras;2;6,11;12,22;;;;;;;;;;;;;;;;;;
10577;Caneca Salto do Tucunaré;Único/Único;Lançamentos, Utilitários > Canecas;2;10,87;21,74;;;;;;;;;;;;;;;;;;
10034;Pulseira Traíra Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;15,38;;;;;;;;;;;;;;;;;;
10429;Camiseta Salto do Dourado;Único/G;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10429;Camiseta Salto do Dourado;Único/GG;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10441;Camiseta Estrelas Fish TV;Único/M;Fish TV;1;110,66;110,66;;;;;;;;;;;;;;;;;;
10441;Camiseta Estrelas Fish TV;Único/GG;Fish TV;1;110,66;110,66;;;;;;;;;;;;;;;;;;
10128;Camiseta Técnicas For Fisher;M/Único;Camisetas;1;21,47;21,47;;;;;;;;;;;;;;;;;;
10128;Camiseta Técnicas For Fisher;GG/Único;Camisetas;1;21,47;21,47;;;;;;;;;;;;;;;;;;
10338;Boné Fish TV;Único/Único;Bonés, Fish TV;2;10,47;20,94;;;;;;;;;;;;;;;;;;
10545;Boné Pampo Maori;Único/Único;Lançamentos, Bonés;2;25,81;51,62;;;;;;;;;;;;;;;;;;
10222;Sandália Tucunaré Tribal;41/42/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10222;Sandália Tucunaré Tribal;43/44/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10498;Camiseta Baby Look Robalo Maori;Único/P;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10498;Camiseta Baby Look Robalo Maori;Único/M;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10431;Camiseta Salto do Robalo;Único/P;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10431;Camiseta Salto do Robalo;Único/G;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10432;Camiseta Salto da Cachorra;Único/M;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10432;Camiseta Salto da Cachorra;Único/XG;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10244;"Camiseta ""Pesco, Logo Existo""";G/Único;Camisetas;1;20,96;20,96;;;;;;;;;;;;;;;;;;
10244;"Camiseta ""Pesco, Logo Existo""";XG/Único;Camisetas;1;20,96;20,96;;;;;;;;;;;;;;;;;;
10251;Camiseta For Fisher;GG/Único;Camisetas;1;20,96;20,96;;;;;;;;;;;;;;;;;;
10251;Camiseta For Fisher;XG/Único;Camisetas;1;20,96;20,96;;;;;;;;;;;;;;;;;;
10185;Pulseira Macramê Dourado Preta;Único/Único;Acessórios > Pulseiras;1;11,41;11,41;;;;;;;;;;;;;;;;;;
