Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
27:00:00 - 27:15:00;0,30;0,11;0,30;0,27;0,39;0,36;0,18;0,05;0,11;0,14;0,00;0,05;0,00;0,32;0,11
27:15:00 - 27:30:00;0,21;0,11;0,10;0,16;0,13;0,21;0,10;0,11;0,03;0,22;0,19;0,00;0,06;0,21;0,07
27:30:00 - 27:45:00;0,15;0,05;0,10;0,14;0,13;0,18;0,09;0,02;0,03;0,09;0,00;0,00;0,00;0,17;0,04
27:45:00 - 28:00:00;0,06;0,02;0,00;0,06;0,00;0,08;0,04;0,00;0,00;0,05;0,00;0,00;0,00;0,05;0,03
28:00:00 - 28:15:00;0,16;0,06;0,20;0,15;0,13;0,11;0,09;0,04;0,07;0,07;0,00;0,00;0,07;0,07;0,09
28:15:00 - 28:30:00;0,22;0,08;0,20;0,19;0,13;0,16;0,16;0,00;0,07;0,10;0,00;0,11;0,11;0,12;0,03
28:30:00 - 28:45:00;0,18;0,08;0,29;0,17;0,13;0,08;0,11;0,05;0,14;0,00;0,00;0,00;0,20;0,09;0,00
28:45:00 - 29:00:00;0,23;0,09;0,27;0,18;0,22;0,16;0,11;0,06;0,14;0,03;0,00;0,00;0,07;0,09;0,15
29:00:00 - 29:15:00;0,17;0,07;0,10;0,10;0,13;0,13;0,08;0,05;0,03;0,05;0,09;0,00;0,10;0,07;0,04
29:15:00 - 29:30:00;0,18;0,07;0,10;0,12;0,13;0,16;0,08;0,06;0,04;0,05;0,00;0,00;0,10;0,07;0,08
29:30:00 - 29:45:00;0,23;0,08;0,24;0,17;0,32;0,23;0,12;0,05;0,13;0,02;0,00;0,00;0,00;0,09;0,20
29:45:00 - 30:00:00;0,10;0,04;0,10;0,09;0,13;0,11;0,05;0,02;0,03;0,05;0,00;0,00;0,00;0,07;0,07
06:00:00 - 30:00:00;24,47;12,09;16,69;16,40;19,67;19,07;13,63;10,65;12,22;11,69;7,56;6,35;7,13;12,28;19,29
;;;;;;;;;;;;;;;
