ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5546;08/04/2018 10:12;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 30,08;R$ 99,98
5545;07/04/2018 13:26;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
5544;07/04/2018 09:04;ENTREGUE;MOIP CC 2x;Mobile;4;R$ 169,60;R$ 0,00;R$ 21,00;R$ 190,60
5543;07/04/2018 08:48;ENTREGUE;MOIP Boleto;Desktop;2;R$ 157,80;R$ 0,00;R$ 64,75;R$ 222,55
5542;07/04/2018 08:37;ENTREGUE;MOIP CC 6x;Mobile;4;R$ 229,60;R$ 0,00;R$ 24,47;R$ 254,07
5541;07/04/2018 00:08;ENTREGUE;MOIP Boleto;Mobile;3;R$ 229,70;R$ 0,00;R$ 20,82;R$ 250,52
5539;06/04/2018 14:33;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 39,90;R$ 0,00;R$ 23,21;R$ 63,11
5538;06/04/2018 12:56;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 139,80;R$ 0,00;R$ 25,72;R$ 165,52
5537;06/04/2018 11:42;ENTREGUE;MOIP CC 4x;Mobile;2;R$ 167,80;R$ 0,00;R$ 26,99;R$ 194,79
5536;06/04/2018 10:08;ENTREGUE;MOIP Boleto;Desktop;4;R$ 219,60;R$ 0,00;R$ 26,99;R$ 246,59
5534;05/04/2018 22:13;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 79,90;R$ 0,00;R$ 21,00;R$ 100,90
5533;05/04/2018 17:03;ENTREGUE;MOIP Boleto;Desktop;11;R$ 1.008,90;R$ 1.008,90;R$ 0,00;R$ 0,00
5532;05/04/2018 15:30;APROVADO CRÉDITO;MOIP Boleto;Desktop;2;R$ 89,80;R$ 89,80;R$ 0,00;R$ 0,00
5531;05/04/2018 10:27;ENTREGUE;MOIP Boleto;Desktop;5;R$ 219,50;R$ 0,00;R$ 29,22;R$ 248,72
5530;05/04/2018 10:04;ENTREGUE;MOIP Boleto;Desktop;2;R$ 139,80;R$ 0,00;R$ 21,00;R$ 160,80
5529;05/04/2018 09:56;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5527;05/04/2018 09:47;ENTREGUE;MOIP CC 1x;Desktop;17;R$ 1.028,30;R$ 1.011,00;R$ 0,00;R$ 17,30
