ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
3932;12/02/2017 15:19;ENTREGUE;MOIP CC 2x;Mobile;2;R$ 89,80;R$ 0,00;R$ 27,96;R$ 117,76
3930;12/02/2017 11:25;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 49,90;R$ 0,00;R$ 9,34;R$ 59,24
3929;12/02/2017 06:51;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 87,90;R$ 0,00;R$ 22,28;R$ 110,18
3928;11/02/2017 21:41;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 39,90;R$ 0,00;R$ 26,09;R$ 65,99
3927;11/02/2017 18:52;ENTREGUE;MOIP CC 2x;Mobile;3;R$ 321,71;R$ 0,00;R$ 21,85;R$ 343,56
3926;11/02/2017 15:54;ENTREGUE;MOIP Boleto;Desktop;1;R$ 71,91;R$ 0,00;R$ 27,96;R$ 99,87
3925;11/02/2017 12:37;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 22,28;R$ 92,18
3923;11/02/2017 10:11;ENTREGUE;MOIP CC 3x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,85;R$ 91,75
3922;11/02/2017 09:36;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 101,81;R$ 0,00;R$ 15,56;R$ 117,37
3921;10/02/2017 15:49;ENTREGUE;MOIP Boleto;Desktop;4;R$ 219,60;R$ 0,00;R$ 17,19;R$ 236,79
3920;10/02/2017 15:03;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 49,90;R$ 0,00;R$ 16,78;R$ 66,68
3919;10/02/2017 12:36;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 71,91;R$ 0,00;R$ 47,75;R$ 119,66
3918;10/02/2017 12:19;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 17,19;R$ 97,09
3917;10/02/2017 11:02;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 71,91;R$ 0,00;R$ 48,34;R$ 120,25
3914;09/02/2017 23:05;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
3913;09/02/2017 22:43;ENTREGUE;MOIP CC 6x;Mobile;3;R$ 265,70;R$ 0,00;R$ 0,00;R$ 265,70
3912;09/02/2017 16:35;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 87,90;R$ 0,00;R$ 16,78;R$ 104,68
3911;09/02/2017 11:25;ENTREGUE;MOIP Boleto;Desktop;2;R$ 79,80;R$ 0,00;R$ 17,19;R$ 96,99
